search_query_original,igdb_id,name,slug,image_url
Kingdom Hearts,14159,Kingdom Hearts HD 2.8 Final Chapter Prologue,kingdom-hearts-hd-2-dot-8-final-chapter-prologue,//images.igdb.com/igdb/image/upload/t_cover_big/ar58gc.webp
Kingdom Hearts,26676,Kingdom Hearts 0.2: Birth by Sleep - A Fragmentary Passage,kingdom-hearts-0-dot-2-birth-by-sleep-a-fragmentary-passage,//images.igdb.com/igdb/image/upload/t_cover_big/co8m20.webp
Kingdom Hearts,27979,Kingdom Hearts HD 1.5 + 2.5 Remix,kingdom-hearts-hd-1-dot-5-plus-2-dot-5-remix,//images.igdb.com/igdb/image/upload/t_cover_big/ar58gb.webp
Kingdom Hearts,117525,Kingdom Hearts Dream Drop Distance HD,kingdom-hearts-dream-drop-distance-hd,//images.igdb.com/igdb/image/upload/t_cover_big/co8m1w.webp
Kingdom Hearts,212758,Kingdom Hearts Final Mix,kingdom-hearts-final-mix--1,//images.igdb.com/igdb/image/upload/t_cover_big/co8m1o.webp
Kingdom Hearts,221997,Kingdom Hearts Birth by Sleep Final Mix,kingdom-hearts-birth-by-sleep-final-mix--1,//images.igdb.com/igdb/image/upload/t_cover_big/co8m1t.webp
Kingdom Hearts,221998,Kingdom Hearts II Final Mix,kingdom-hearts-ii-final-mix--1,//images.igdb.com/igdb/image/upload/t_cover_big/co8m1s.webp
Kingdom Hearts,306474,Kingdom Hearts III + Re Mind,kingdom-hearts-iii-plus-re-mind,//images.igdb.com/igdb/image/upload/t_cover_big/cocb25.webp
Kingdom Hearts,2933,Kingdom Hearts III,kingdom-hearts-iii,//images.igdb.com/igdb/image/upload/t_cover_big/co1tpy.webp
Kingdom Hearts,117778,Kingdom Hearts III: Re Mind,kingdom-hearts-iii-re-mind,//images.igdb.com/igdb/image/upload/t_cover_big/co1xdl.webp
Kingdom Hearts,196761,Kingdom Hearts IV,kingdom-hearts-iv,//images.igdb.com/igdb/image/upload/t_cover_big/cocp35.webp
Kingdom Hearts,18869,Mages of Mystralia,mages-of-mystralia,//images.igdb.com/igdb/image/upload/t_cover_big/dkqoabfj9ka5p0vbeqie.webp
Kingdom Hearts,152776,The Last Poem: The Trials of Poe,the-last-poem-the-trials-of-poe,//images.igdb.com/igdb/image/upload/t_cover_big/co3hb6.webp
Kingdom Hearts,363270,Twilight Requiem,twilight-requiem--1,//images.igdb.com/igdb/image/upload/t_cover_big/coc0bk.webp
Kingdom Hearts,36871,Destiny Chronicles,destiny-chronicles,//images.igdb.com/igdb/image/upload/t_cover_big/iyrdqyn2jrlu1cutgk8l.webp
Kingdom Hearts,41913,Xion,xion,//images.igdb.com/igdb/image/upload/t_cover_big/cob4wb.webp
Kingdom Hearts,228340,Tsurugihime,tsurugihime,//images.igdb.com/igdb/image/upload/t_cover_big/coawjf.webp
Kingdom Hearts,297743,Spellbook Demonslayers NSFW,spellbook-demonslayers-nsfw,//images.igdb.com/igdb/image/upload/t_cover_big/coanv7.webp
Kingdom Hearts,108034,BattleBlade,battleblade,//images.igdb.com/igdb/image/upload/t_cover_big/co3lzp.webp
Kingdom Hearts,366126,Life's a Beach,lifes-a-beach,//images.igdb.com/igdb/image/upload/t_cover_big/coaf9q.webp
