search_query_original,rawg_id,name,slug,background_image,released,rating
Kingdom Hearts,59184,Kingdom Hearts,kingdom-hearts,https://media.rawg.io/media/games/bc3/bc3c433821089108642a41a3057f92c5.jpg,2002-03-28,4.39
Kingdom Hearts,24329,KINGDOM HEARTS Re:coded,kingdom-hearts-recoded,https://media.rawg.io/media/games/65f/65f4371671478eff172fad8d60653a66.jpg,2010-10-07,3.11
Kingdom Hearts,51324,Kingdom Hearts III,kingdom-hearts-iii,https://media.rawg.io/media/games/968/968e6210715fd61237139e3caa193be0.jpg,2019-01-25,3.86
Kingdom Hearts,127659,Kingdom Hearts II,kingdom-hearts-2,https://media.rawg.io/media/games/92b/92b781d88f6d047b1c61b6e0d157343b.jpg,2005-12-22,4.32
Kingdom Hearts,53357,Kingdom Hearts: Chain of Memories,kingdom-hearts-chain-of-memories,https://media.rawg.io/media/games/0a4/0a45869d5c720cecfd976b76b2fe2fd7.jpg,2004-11-11,3.66
Kingdom Hearts,484501,Kingdom Hearts: Melody of Memory,kingdom-hearts-melody-of-memory,https://media.rawg.io/media/games/fa7/fa7e8ba1bca24d8ac299c8d04a0cef59.jpg,2020-11-13,3.78
Kingdom Hearts,41680,Kingdom Hearts HD 1.5 ReMIX,kingdom-hearts-hd-15-remix,https://media.rawg.io/media/games/287/287abdde7547395c128a5dfe1cd213fd.jpg,2013-03-14,4.4
Kingdom Hearts,42405,Kingdom Hearts HD 2.5 ReMIX,kingdom-hearts-hd-25-remix,https://media.rawg.io/media/games/b54/b542d8ff41fddb6f5dd45aa27bc293c5.jpg,2014-12-02,4.48
Kingdom Hearts,327224,Kingdom Hearts III: Re Mind,kingdom-hearts-iii-re-mind,https://media.rawg.io/media/games/162/162a3a01d1fc1e5829e8a1444137138a.jpg,2020-01-23,3.79
Kingdom Hearts,331009,Kingdom Hearts Re: Chain of Memories,kingdom-hearts-rechain-of-memories,https://media.rawg.io/media/games/4d0/4d005e5885ba56c59ac83110ef8b6b22.jpg,2007-03-27,3.51
Kingdom Hearts,255818,Kingdom Hearts: The Story So Far,kingdom-hearts-the-story-so-far,https://media.rawg.io/media/screenshots/6c5/6c546bb8faa77336f702d107079de62f.jpg,2018-10-30,3.92
Kingdom Hearts,983520,KINGDOM HEARTS -HD 1.5+2.5 ReMIX,kingdom-hearts-hd-1525-remix-2,https://media.rawg.io/media/screenshots/c63/c63dd7138b94cf9b9ee47ac4b7971e3f.jpg,2024-06-13,0.0
Kingdom Hearts,27155,Kingdom Hearts 3D: Dream Drop Distance,kingdom-hearts-3d-dream-drop-distance,https://media.rawg.io/media/screenshots/2ea/2ea2447a772162504ba82c50c2d1ed0a.jpg,2012-07-31,3.77
Kingdom Hearts,69,KINGDOM HEARTS HD 1.5 +2.5 ReMIX,kingdom-hearts-hd-1525-remix,https://media.rawg.io/media/games/c97/c970331a996c14ff50077bd00f9fd3b1.jpg,2017-03-28,4.35
Kingdom Hearts,334412,Kingdom Hearts 3D: Dream Drop Distance HD,kingdom-hearts-dream-drop-distance,https://media.rawg.io/media/screenshots/14d/14d5d443b1482c1d5b48e3cb482b3909.jpg,2017-01-12,3.8
Kingdom Hearts,472,Kingdom Hearts HD 2.8 Final Chapter Prologue,kingdom-hearts-hd-28-final-chapter-prologue,https://media.rawg.io/media/games/531/5310bfdd3240f2c037eebaa75c04c44e.jpg,2017-01-12,4.1
Kingdom Hearts,442845,Kingdom Hearts : Rebirth,kingdom-hearts-rebirth,https://media.rawg.io/media/screenshots/8ed/8ede05d0c9ba349429a234ce0cb15c1a.jpg,2013-04-15,0.0
Kingdom Hearts,279590,KINGDOM HEARTS FINAL MIX,kingdom-hearts-final-mix,https://media.rawg.io/media/screenshots/c51/c516902fde524b694b807e522bdb69e7.jpg,2002-12-26,4.31
Kingdom Hearts,744358,Kingdom Hearts: Alternate Story,kingdom-hearts-alternate-story,https://media.rawg.io/media/screenshots/f0f/f0f1a299b6e85a0faae2454eea170480.jpg,2022-02-23,0.0
Kingdom Hearts,5596,Kingdom Hearts Birth by Sleep,kingdom-hearts-birth-by-sleep,https://media.rawg.io/media/games/f29/f29dfda4bbdfcd5b6d15d408643a2bbd.jpg,2010-01-09,4.36
Final Fantasy,52936,Final Fantasy (1987),final-fantasy-1987,https://media.rawg.io/media/screenshots/656/6566c32aebb7b23af0573091132c2f2c.jpg,1987-12-17,3.74
Final Fantasy,1571,FINAL FANTASY,final-fantasy,https://media.rawg.io/media/screenshots/fa5/fa5bb7cabd8aff744f8d3aa6acf4875a.jpg,2002-10-05,3.79
Final Fantasy,395975,Final Fantasy Anniversary Edition,final-fantasy-anniversary-edition,https://media.rawg.io/media/screenshots/52d/52d694557bcd11d0e980c074123e8f17.jpg,2007-06-12,3.7
Final Fantasy,52943,Final Fantasy IX,final-fantasy-ix,https://media.rawg.io/media/games/826/82626e2d7ee7d96656fb9838c2ef7302.jpg,2000-07-07,4.35
Final Fantasy,1063,FINAL FANTASY VI,final-fantasy-vi,https://media.rawg.io/media/games/98c/98c87b286cd2a2ba942167df384a9bd3.jpg,1994-04-02,4.36
Final Fantasy,259801,Final Fantasy VII,final-fantasy-vii-remake,https://media.rawg.io/media/games/d89/d89bd0cf4fcdc10820892980cbba0f49.jpg,2020-04-10,4.37
Final Fantasy,39530,Final Fantasy XIV,final-fantasy-14,https://media.rawg.io/media/screenshots/8f7/8f73b974f60a58362532440e9183188c.jpg,2010-09-30,4.2
Final Fantasy,1922,FINAL FANTASY V,final-fantasy-v,https://media.rawg.io/media/games/7b1/7b184215cc792ea2abf115f4e566b486.jpg,1992-12-06,4.06
Final Fantasy,5115,FINAL FANTASY VIII,final-fantasy-viii,https://media.rawg.io/media/games/f77/f77510051b6a61decc35c5257193fc9e.jpg,1999-02-11,4.28
Final Fantasy,41128,Final Fantasy X,final-fantasy-10,https://media.rawg.io/media/games/ddc/ddc65c56f16bc3effb8d2645b095a8c5.jpg,2001-07-19,4.38
Final Fantasy,34872,Final Fantasy XI,final-fantasy-11,https://media.rawg.io/media/games/6cc/6ccf7dab7819174130a3f022709e5ae1.jpg,2002-11-07,3.56
Final Fantasy,52949,Final Fantasy Tactics,final-fantasy-tactics,https://media.rawg.io/media/games/30c/30c067f9a6736000c8faf2efe4952a9b.jpg,1997-06-28,4.37
Final Fantasy,52939,Final Fantasy VII (1997),final-fantasy-vii,https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg,1997-01-31,4.36
Final Fantasy,52935,Final Fantasy II (1988),final-fantasy-ii-1988,https://media.rawg.io/media/games/f29/f29af1b9d00800b26af2a6fda55aa3b9.jpg,1988-12-17,3.35
Final Fantasy,3993,FINAL FANTASY XIII-2,final-fantasy-xiii-2,https://media.rawg.io/media/games/c6f/c6fc62de480c614fed2b88df0155cdcd.jpg,2011-12-15,3.53
Final Fantasy,52937,Final Fantasy IV (1991),final-fantasy-iv-1991,https://media.rawg.io/media/screenshots/cb5/cb5fee4db77e93350719dc151a33d13f.jpg,1991-07-19,4.05
Final Fantasy,308056,Final Fantasy III (1990),final-fantasy-iii-1990,https://media.rawg.io/media/screenshots/b06/b06926ca84cb706538399e778c8a4564.jpg,1990-04-27,3.59
Final Fantasy,283970,Final Fantasy X-2,final-fantasy-x-2,https://media.rawg.io/media/games/336/3369c92ff7d489437dc7d337576db9ac.jpg,2003-03-13,3.55
Final Fantasy,42957,Final Fantasy XIV: Heavensward,final-fantasy-xiv-heavensward,https://media.rawg.io/media/screenshots/b72/b72a7c7ce43b2ac0cd503124d8b02f37.jpg,2015-06-26,4.44
Final Fantasy,327232,Final Fantasy VIII Remastered,final-fantasy-viii-remastered,https://media.rawg.io/media/games/1ac/1ac050b86c87138ce6a3354aa90db894.jpg,2019-09-02,4.15
Zelda,479836,ZELDA (Raul Fernandes),zelda-2,N/A,2020-08-13,0.0
Zelda,924900,Zelda,zelda-4,https://media.rawg.io/media/screenshots/caf/caf15f0938b2a58aa046a2007ad7d4ad.jpg,2023-02-06,0.0
Zelda,53205,Zelda II: The Adventure of Link,zelda-ii-the-adventure-of-link-2,https://media.rawg.io/media/screenshots/2dc/2dcc5b76de63a99799364f962334525f.jpg,1987-01-14,3.31
Zelda,26824,The Legend of Zelda: Skyward Sword,the-legend-of-zelda-skyward-sword,https://media.rawg.io/media/games/884/884d12f527a9a12b5e486ee1b79ecf7f.jpeg,2011-11-20,4.14
Zelda,466577,Zelda's Adventure,zeldas-adventure,https://media.rawg.io/media/games/856/85636bf9dd34778beb20adb5ba651017.jpg,2020-07-12,0.0
Zelda,713367,Zelda- Ticking Pressure,zelda-ticking-pressure,https://media.rawg.io/media/screenshots/39f/39f627ea5f9628e4c0c8bd4e9ef7f741.jpg,2021-12-22,0.0
Zelda,290864,The Legend of Zelda: Four Swords,the-legend-of-zelda-four-swords,https://media.rawg.io/media/screenshots/063/063e24eb22d69c8d4febc5b938a50b57.jpg,2002-12-02,3.89
Zelda,27015,The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,https://media.rawg.io/media/games/dd1/dd167cf8753db3748a975d61cc926e54.jpg,2006-11-19,4.38
Zelda,760646,Zelda Alpha 1.0.0,zelda-alpha-100,https://media.rawg.io/media/screenshots/1d2/1d27f40d98bcde4b50a024a6c8b10bb0.jpg,2022-03-27,0.0
Zelda,323924,Zelda-Like Dungeon,zelda-like-dungeon,https://media.rawg.io/media/screenshots/804/804a68f2ba92c626e26545459b241518.jpg,2019-05-28,0.0
