publisher_id,name,slug,games_count,image_background
354,Electronic Arts,electronic-arts,1346,https://media.rawg.io/media/games/e8f/e8f923180ecb9614ec564a15937cfd9e.jpg
308,Square Enix,square-enix,615,https://media.rawg.io/media/screenshots/67e/67e5be6ad7a555248f50bd367e9a071c.jpg
918,Ubisoft Entertainment,ubisoft-entertainment,1105,https://media.rawg.io/media/games/b39/b396dac1f3e0f538841aa0355dd066d3.jpg
20987,Microsoft Studios,microsoft-studios,501,https://media.rawg.io/media/games/fad/fadc4be043ed07904012d47cd02671e4.jpg
3408,SEGA,sega-2,1293,https://media.rawg.io/media/games/a1f/a1f93b9b287a0808161a35952635867e.jpg
3399,Valve,valve,48,https://media.rawg.io/media/games/66e/66e90c9d7b9a17335b310ceb294e9365.jpg
339,Bethesda Softworks,bethesda-softworks,194,https://media.rawg.io/media/games/ccf/ccf26f6e3d553a04f0033a8107a521b8.jpg
358,2K Games,2k-games,222,https://media.rawg.io/media/games/74c/74ca0ec569682a150f3c6f9f661fb6a5.jpg
19651,Feral Interactive,feral-interactive,111,https://media.rawg.io/media/games/16b/16b1b7b36e2042d1128d5a3e852b3b2f.jpg
2150,Capcom,capcom,648,https://media.rawg.io/media/games/974/974342a3959981a17bdbbff2fd7f97b0.jpg
350,Warner Bros. Interactive,warner-bros-interactive,219,https://media.rawg.io/media/games/fd8/fd882c8267a44621a0de6f9cec77ae90.jpg
10212,Sony Computer Entertainment,sony-computer-entertainment,514,https://media.rawg.io/media/games/214/214b29aeff13a0ae6a70fc4426e85991.jpg
1283,THQ Nordic,thq-nordic,249,https://media.rawg.io/media/games/cb7/cb770f3f9871e1130f40812b05e401b2.jpg
1307,Devolver Digital,devolver-digital,193,https://media.rawg.io/media/screenshots/46a/46ac84997152eaf4f760257a60099231.jpg
8352,Bandai Namco Entertainment,bandai-namco-entertainment,624,https://media.rawg.io/media/games/158/15880530ce424311f264671e4b0611ee.jpg
3363,Aspyr,aspyr,119,https://media.rawg.io/media/games/55e/55ee6432ac2bf224610fa17e4c652107.jpg
10830,Activision Blizzard,activision-blizzard,693,https://media.rawg.io/media/games/4ea/4ea507ceebeabb43edbc09468f5aaac6.jpg
311,Deep Silver,deep-silver,192,https://media.rawg.io/media/games/a72/a72e405a19f93dc68cbc06d7a39b2a4a.jpg
10681,Nintendo,nintendo,1244,https://media.rawg.io/media/games/b3c/b3c209cd49aae8a469a59b79b54dc599.jpg
11687,Sony Interactive Entertainment,sony-interactive-entertainment,312,https://media.rawg.io/media/games/837/837a609b0584db5d03534c8e767861b1.jpg
2155,Rockstar Games,rockstar-games,83,https://media.rawg.io/media/games/bcd/bcdadb5dd2be66dd4dd1f657275b3f8e.jpg
243,505 Games,505-games,194,https://media.rawg.io/media/screenshots/e81/e81dce2619c78b1cc045f078658590b8.jpg
3656,Paradox Interactive,paradox-interactive,309,https://media.rawg.io/media/games/f95/f95ec06eddda5c5bf206618c49cd3e68.jpg
6062,THQ,thq,504,https://media.rawg.io/media/games/94a/94a59c5136a9b90eef5f23fea7bf997c.jpg
221,Telltale Games,telltale-games,121,https://media.rawg.io/media/games/471/4712c9ac591f556f553556b864a7e92b.jpg
7133,Activison,activison,102,https://media.rawg.io/media/screenshots/b47/b47bd2d273344de393bf9658e62a9fb9.jpg
402,Team17 Digital,team17-digital-ltd,172,https://media.rawg.io/media/games/270/270b412b66688081497b3d70c100b208.jpg
10691,Konami,konami,878,https://media.rawg.io/media/games/df1/df1214c2454b88285fc78fc36bc12cde.jpg
250,Disney Interactive,disney-interactive,344,https://media.rawg.io/media/games/7e8/7e8890a662539b1bdefcf57409aef765.jpg
31896,BANDAI NAMCO Entertainment US,bandai-namco-entertainment-us,160,https://media.rawg.io/media/games/27c/27cb94ed1763fec383fb99151580095a.jpg
4879,1C-SoftClub,1c-softclub,51,https://media.rawg.io/media/games/7ea/7ea3575b85ee2a8097b99583aa7c86f3.jpg
713,Focus Home Interactive,focus-home-interactive,153,https://media.rawg.io/media/games/6b4/6b4353172a07d3c4c83fa731f7ddaee6.jpg
3370,1C Company,1c-company,180,https://media.rawg.io/media/screenshots/6ab/6abfd025d38b2a8e092971e932968698.jpg
11461,LucasArts Entertainment,lucasarts-entertainment,133,https://media.rawg.io/media/games/eec/eeccbd9e91dd1696ddb1dffef99aec72.jpg
1294,Codemasters,codemasters,200,https://media.rawg.io/media/games/23d/23d78acedbb5f40c9fb64e73af5af65d.jpg
2157,Daedalic Entertainment,daedalic-entertainment,126,https://media.rawg.io/media/games/2e6/2e6a43949b938f8f34bac7b7d6640fa1.jpg
10877,Eidos Interactive,eidos-interactive,151,https://media.rawg.io/media/screenshots/c1f/c1fd8b15793743563367688b3dd5faa6.jpg
